order_id,score_no_guarantee,score_with_guarantee,nodes_no_guarantee,nodes_with_guarantee,nodes_diff_abs,nodes_diff_factor,r1_no_guarantee,r1_with_guarantee,r1_diff_abs,r1_diff_factor,r2_no_guarantee,r2_with_guarantee,r2_diff_abs,r2_diff_factor,r4_no_guarantee,r4_with_guarantee,r4_diff_abs,r4_diff_factor,dedupe_no_guarantee,dedupe_with_guarantee,dedupe_diff_abs,dedupe_diff_factor,symbreak_no_guarantee,symbreak_with_guarantee,symbreak_diff_abs,symbreak_diff_factor
2080,260,246,14902,185545,170643,0.0803,12670,166734,154064,0.076,0,0,0,N/A,437,5318,4881,0.0822,39572,0,39572,N/A,33760,498171,464411,0.0678
2081,310,300,4630,156540,151910,0.0296,3704,139321,135617,0.0266,0,0,0,N/A,128,4006,3878,0.032,23574,0,23574,N/A,11159,527996,516837,0.0211
2082,268,260,287362,4031979,3744617,0.0713,257017,3852961,3595944,0.0667,0,0,0,N/A,8087,70720,62633,0.1144,548679,0,548679,N/A,347504,1657587,1310083,0.2096
2083,280,280,4381,68772,64391,0.0637,3589,61604,58015,0.0583,0,0,0,N/A,116,1236,1120,0.0939,12428,0,12428,N/A,8560,168577,160017,0.0508
2084,375,375,5400,238672,233272,0.0226,4436,227088,222652,0.0195,0,0,0,N/A,163,3321,3158,0.0491,24869,0,24869,N/A,6427,183873,177446,0.035
2085,300,300,7938,483313,475375,0.0164,6288,428805,422517,0.0147,0,0,0,N/A,294,14321,14027,0.0205,40313,0,40313,N/A,19725,1571727,1552002,0.0125
2086,310,310,1823,69764,67941,0.0261,1483,66194,64711,0.0224,0,0,0,N/A,54,1177,1123,0.0459,4633,0,4633,N/A,882,25776,24894,0.0342
2087,280,280,133627,13512574,13378947,0.0099,109842,12318196,12208354,0.0089,0,0,0,N/A,4348,348774,344426,0.0125,418588,0,418588,N/A,373551,28407110,28033559,0.0131
2088,300,282,8385,1395535,1387150,0.006,6121,1144112,1137991,0.0054,0,0,0,N/A,207,31302,31095,0.0066,35245,0,35245,N/A,38034,7570361,7532327,0.005
2089,333,310,200206,5587923,5387717,0.0358,180715,5322867,5142152,0.034,0,0,0,N/A,4756,84820,80064,0.0561,411052,0,411052,N/A,138408,3664735,3526327,0.0378
