order_id,score_no_guarantee,score_with_guarantee,nodes_no_guarantee,nodes_with_guarantee,nodes_diff_abs,nodes_diff_factor,r1_no_guarantee,r1_with_guarantee,r1_diff_abs,r1_diff_factor,r2_no_guarantee,r2_with_guarantee,r2_diff_abs,r2_diff_factor,r4_no_guarantee,r4_with_guarantee,r4_diff_abs,r4_diff_factor,dedupe_no_guarantee,dedupe_with_guarantee,dedupe_diff_abs,dedupe_diff_factor,symbreak_no_guarantee,symbreak_with_guarantee,symbreak_diff_abs,symbreak_diff_factor
2075,310,310,5183,42783,37600,0.1211,4405,39608,35203,0.1112,0,0,0,N/A,88,534,446,0.1648,19981,0,19981,N/A,8063,81444,73381,0.099
2076,300,266,18004,2332528,2314524,0.0077,15088,2136037,2120949,0.0071,0,0,0,N/A,469,54074,53605,0.0087,56393,0,56393,N/A,34544,4229216,4194672,0.0082
2077,300,300,949,10440,9491,0.0909,720,8646,7926,0.0833,0,0,0,N/A,26,184,158,0.1413,4662,0,4662,N/A,2141,51716,49575,0.0414
2078,260,260,645,7512,6867,0.0859,529,6960,6431,0.076,0,0,0,N/A,24,186,162,0.129,1103,0,1103,N/A,533,4486,3953,0.1188
2079,300,280,4306,119208,114902,0.0361,3297,102958,99661,0.032,0,0,0,N/A,60,1586,1526,0.0378,23288,0,23288,N/A,17600,594187,576587,0.0296
2080,260,246,14902,185545,170643,0.0803,12670,166734,154064,0.076,0,0,0,N/A,437,5318,4881,0.0822,39572,0,39572,N/A,33760,498171,464411,0.0678
2081,310,300,4630,156540,151910,0.0296,3704,139321,135617,0.0266,0,0,0,N/A,128,4006,3878,0.032,23574,0,23574,N/A,11159,527996,516837,0.0211
2082,268,260,287362,4031979,3744617,0.0713,257017,3852961,3595944,0.0667,0,0,0,N/A,8087,70720,62633,0.1144,548679,0,548679,N/A,347504,1657587,1310083,0.2096
2083,280,280,4381,68772,64391,0.0637,3589,61604,58015,0.0583,0,0,0,N/A,116,1236,1120,0.0939,12428,0,12428,N/A,8560,168577,160017,0.0508
2084,375,375,5400,238672,233272,0.0226,4436,227088,222652,0.0195,0,0,0,N/A,163,3321,3158,0.0491,24869,0,24869,N/A,6427,183873,177446,0.035
2085,300,300,7938,483313,475375,0.0164,6288,428805,422517,0.0147,0,0,0,N/A,294,14321,14027,0.0205,40313,0,40313,N/A,19725,1571727,1552002,0.0125
2086,310,310,1823,69764,67941,0.0261,1483,66194,64711,0.0224,0,0,0,N/A,54,1177,1123,0.0459,4633,0,4633,N/A,882,25776,24894,0.0342
2087,280,280,133627,13512574,13378947,0.0099,109842,12318196,12208354,0.0089,0,0,0,N/A,4348,348774,344426,0.0125,418588,0,418588,N/A,373551,28407110,28033559,0.0131
2088,300,282,8385,1395535,1387150,0.006,6121,1144112,1137991,0.0054,0,0,0,N/A,207,31302,31095,0.0066,35245,0,35245,N/A,38034,7570361,7532327,0.005
2089,333,310,200206,5587923,5387717,0.0358,180715,5322867,5142152,0.034,0,0,0,N/A,4756,84820,80064,0.0561,411052,0,411052,N/A,138408,3664735,3526327,0.0378
2090,260,220,2096,14525,12429,0.1443,1736,13348,11612,0.1301,0,0,0,N/A,89,191,102,0.466,5304,0,5304,N/A,4024,32811,28787,0.1226
2091,220,220,251,453,202,0.5541,224,421,197,0.5321,0,0,0,N/A,0,0,0,N/A,491,0,491,N/A,289,578,289,0.5
2092,246,230,796,23708,22912,0.0336,622,20980,20358,0.0296,0,0,0,N/A,41,544,503,0.0754,2854,0,2854,N/A,1520,73091,71571,0.0208
2093,263,263,45145,961981,916836,0.0469,27192,847622,820430,0.0321,0,0,0,N/A,366,10860,10494,0.0337,416237,0,416237,N/A,405183,4428404,4023221,0.0915
2094,280,280,617,5376,4759,0.1148,482,4797,4315,0.1005,0,0,0,N/A,18,105,87,0.1714,3049,0,3049,N/A,861,12147,11286,0.0709
2095,280,280,138835,20738701,20599866,0.0067,107729,17233622,17125893,0.0063,0,0,0,N/A,2683,324270,321587,0.0083,455524,0,455524,N/A,624637,118806804,118182167,0.0053
2096,310,300,15794,463777,447983,0.0341,13177,422342,409165,0.0312,0,0,0,N/A,475,6879,6404,0.0691,58332,0,58332,N/A,26947,1271831,1244884,0.0212
2097,310,300,6426,41449,35023,0.155,5179,38183,33004,0.1356,0,0,0,N/A,177,591,414,0.2995,29074,0,29074,N/A,11451,74766,63315,0.1532
2098,310,310,446,1825,1379,0.2444,365,1686,1321,0.2165,0,0,0,N/A,13,21,8,0.619,1897,0,1897,N/A,416,2295,1879,0.1813
2099,260,255,52955,1172955,1120000,0.0451,46443,1089317,1042874,0.0426,0,0,0,N/A,1228,20557,19329,0.0597,109505,0,109505,N/A,79232,1823730,1744498,0.0434
